"name","final"
"image_0035.jpg",1
"image_0042.jpg",1
"image_0089.jpg",1
"image_0094.jpg",1
"image_0096.jpg",1
"image_0150.jpg",1
"image_0240.jpg",1
"image_0307.jpg",1
"image_0313.jpg",1
"image_0347.jpg",0
"image_0392.jpg",1
"image_0412.jpg",1
"image_0421.jpg",1
"image_0037.jpg",1
"image_0061.jpg",1
"image_0082.jpg",1
"image_0103.jpg",1
"image_0186.jpg",0
"image_0193.jpg",0
"image_0245.jpg",1
"image_0275.jpg",0
"image_0332.jpg",0
"image_0341.jpg",0
"image_0386.jpg",1
"image_0406.jpg",1
"image_0416.jpg",1
"image_0424.jpg",0
"image_0426.jpg",1
"image_0010.jpg",1
"image_0028.jpg",1
"image_0048.jpg",1
"image_0093.jpg",1
"image_0099.jpg",1
"image_0120.jpg",0
"image_0126.jpg",0
"image_0149.jpg",1
"image_0276.jpg",1
"image_0282.jpg",1
"image_0283.jpg",1
"image_0333.jpg",1
"image_0378.jpg",1
"image_0379.jpg",1
"image_0401.jpg",1
"image_0031.jpg",0
"image_0071.jpg",1
"image_0085.jpg",1
"image_0110.jpg",0
"image_0228.jpg",0
"image_0258.jpg",0
"image_0433.jpg",1
"image_0027.jpg",1
"image_0036.jpg",0
"image_0077.jpg",0
"image_0107.jpg",0
"image_0129.jpg",0
"image_0138.jpg",0
"image_0210.jpg",0
"image_0239.jpg",0
"image_0279.jpg",0
"image_0322.jpg",0
"image_0342.jpg",1
"image_0367.jpg",0
"image_0403.jpg",0
"image_0002.jpg",1
"image_0030.jpg",0
"image_0060.jpg",0
"image_0102.jpg",0
"image_0135.jpg",0
"image_0143.jpg",0
"image_0153.jpg",0
"image_0178.jpg",0
"image_0182.jpg",1
"image_0208.jpg",0
"image_0212.jpg",1
"image_0218.jpg",0
"image_0229.jpg",0
"image_0256.jpg",0
"image_0272.jpg",0
"image_0274.jpg",0
"image_0339.jpg",0
"image_0355.jpg",0
"image_0366.jpg",0
"image_0383.jpg",0
"image_0004.jpg",1
"image_0043.jpg",0
"image_0058.jpg",1
"image_0081.jpg",1
"image_0134.jpg",1
"image_0151.jpg",0
"image_0166.jpg",1
"image_0172.jpg",1
"image_0179.jpg",1
"image_0226.jpg",1
"image_0263.jpg",1
"image_0328.jpg",1
"image_0350.jpg",0
"image_0420.jpg",0
"image_0044.jpg",1
"image_0051.jpg",1
"image_0069.jpg",1
"image_0075.jpg",1
"image_0167.jpg",1
"image_0202.jpg",0
"image_0232.jpg",1
"image_0265.jpg",1
"image_0327.jpg",1
"image_0343.jpg",0
"image_0345.jpg",1
"image_0374.jpg",0
"image_0417.jpg",1
"image_0431.jpg",1
"image_0017.jpg",0
"image_0136.jpg",0
"image_0165.jpg",0
"image_0247.jpg",0
"image_0264.jpg",1
"image_0297.jpg",1
"image_0314.jpg",0
"image_0331.jpg",1
"image_0377.jpg",1
"image_0382.jpg",0
"image_0429.jpg",1
"image_0017",0
"image_0082",0
"image_0136",0
"image_0165",0
"image_0172",0
"image_0247",0
"image_0263",1
"image_0264",0
"image_0297",1
"image_0314",0
"image_0331",0
"image_0377",0
"image_0382",0
"image_0403",0
"image_0429",0
"image_0431",0
"image_0047.jpg",0
"image_0055.jpg",0
"image_0066.jpg",0
"image_0097.jpg",1
"image_0108.jpg",0
"image_0125.jpg",0
"image_0168.jpg",1
"image_0252.jpg",1
"image_0255.jpg",1
"image_0296.jpg",0
"image_0303.jpg",1
"image_0353.jpg",0
"image_0362.jpg",1
"image_0020.jpg",0
"image_0063.jpg",0
"image_0080.jpg",0
"image_0139.jpg",1
"image_0170.jpg",1
"image_0185.jpg",1
"image_0192.jpg",1
"image_0224.jpg",1
"image_0271.jpg",1
"image_0290.jpg",0
"image_0351.jpg",0
"image_0364.jpg",0
"image_0371.jpg",0
"image_0407.jpg",0
"image_0409.jpg",0
"image_0434.jpg",0
"image_0003.jpg",1
"image_0025.jpg",1
"image_0038.jpg",1
"image_0067.jpg",1
"image_0073.jpg",1
"image_0084.jpg",1
"image_0106.jpg",1
"image_0146.jpg",0
"image_0181.jpg",0
"image_0211.jpg",1
"image_0231.jpg",0
"image_0315.jpg",1
"image_0335.jpg",1
"image_0381.jpg",1
"image_0402.jpg",1
"image_0405.jpg",1
"image_0059.jpg",1
"image_0104.jpg",1
"image_0140.jpg",1
"image_0152.jpg",1
"image_0189.jpg",1
"image_0222.jpg",0
"image_0277.jpg",0
"image_0280.jpg",1
"image_0286.jpg",1
"image_0292.jpg",1
"image_0310.jpg",1
"image_0324.jpg",1
"image_0352.jpg",1
"image_0372.jpg",1
"image_0384.jpg",1
"image_0428.jpg",1
"image_0012.jpg",0
"image_0072.jpg",0
"image_0118.jpg",0
"image_0127.jpg",0
"image_0131.jpg",0
"image_0137.jpg",0
"image_0159.jpg",0
"image_0197.jpg",0
"image_0207.jpg",0
"image_0217.jpg",0
"image_0233.jpg",0
"image_0299.jpg",0
"image_0011.jpg",0
"image_0113.jpg",0
"image_0154.jpg",0
"image_0155.jpg",1
"image_0254.jpg",1
"image_0306.jpg",0
"image_0360.jpg",0
"image_0046.jpg",0
"image_0074.jpg",0
"image_0083.jpg",0
"image_0095.jpg",0
"image_0199.jpg",0
"image_0204.jpg",0
"image_0237.jpg",0
"image_0295.jpg",0
"image_0390.jpg",0
"image_0019.jpg",1
"image_0065.jpg",1
"image_0111.jpg",1
"image_0124.jpg",0
"image_0128.jpg",1
